timestamp,seq,bytes,rtt_ms,loss_rate
0.129,0,402970,352.89,0.00
0.529,4,403466,156.96,60.00
0.629,5,403018,106.88,50.00
0.730,6,403530,57.49,42.86
0.830,7,402906,52.95,37.50
0.930,8,403658,52.90,33.33
1.031,9,403450,53.14,30.00
1.132,10,403930,54.26,27.27
1.232,11,403322,20.14,25.00
1.333,12,402778,19.13,23.08
1.433,13,403306,18.71,21.43
1.533,14,402618,18.97,20.00
1.634,15,402298,11.41,18.75
1.734,16,402650,11.31,17.65
1.835,17,402746,11.44,16.67
1.935,18,403082,12.39,15.79
2.036,19,402554,10.76,15.00
2.137,20,401770,10.78,14.29
2.238,21,401722,17.00,13.64
2.338,22,402442,16.09,13.04
2.438,23,401786,13.84,12.50
2.539,24,403690,14.80,12.00
2.640,25,403050,13.76,11.54
2.740,26,402490,12.57,11.11
2.841,27,402954,14.52,10.71
2.942,28,403098,13.29,10.34
3.042,29,402762,12.41,10.00
3.143,30,401722,15.93,9.68
3.243,31,403226,15.72,9.38
3.344,32,402490,333.86,9.09
3.445,33,401466,233.09,8.82
3.545,34,402330,132.40,8.57
3.647,35,401210,31.32,8.33
3.747,36,401770,32.61,8.11
3.848,37,402378,28.09,7.89
3.948,38,401754,13.89,7.69
4.050,39,401866,15.37,7.50
4.150,40,401946,15.41,7.32
4.250,41,402378,14.82,7.14
4.351,42,402554,14.49,6.98
4.451,43,402906,15.49,6.82
4.552,44,403162,18.00,6.67
4.652,45,401786,18.98,6.52
4.753,46,401802,25.11,6.38
4.853,47,402554,20.40,6.25
4.953,48,402218,16.50,6.12
5.054,49,401962,12.65,6.00
5.154,50,402586,13.01,5.88
5.255,51,402122,17.82,5.77
5.356,52,402154,17.65,5.66
5.456,53,402874,12.92,5.56
5.556,54,403114,14.50,5.45
5.657,55,402906,14.43,5.36
5.757,56,402058,14.91,5.26
5.858,57,402218,13.06,5.17
5.958,58,402522,13.27,5.08
6.059,59,402810,14.69,5.00
6.159,60,401514,17.70,4.92
6.260,61,401898,16.64,4.84
6.360,62,401834,17.71,4.76
6.461,63,401578,14.51,4.69
6.562,64,402058,15.56,4.62
6.662,65,402122,23.21,4.55
6.763,66,401866,25.57,4.48
6.863,67,401578,25.58,4.41
6.964,68,402858,16.23,4.35
7.065,69,402362,18.36,4.29
7.164,70,402938,17.32,4.23
7.265,71,402522,210.17,4.17
7.367,72,402138,109.08,4.11
7.468,73,402570,23.77,4.05
7.568,74,401354,22.52,4.00
